model,split,horizon_h,n,n_pos,prevalence,auroc,auprc,brier,ece,specificity_at_sens80,threshold_at_sens80,specificity_at_sens90,threshold_at_sens90,brier_calibrated,ece_calibrated
lab_only,test,6,12485,322,0.02579094913896676,0.6590130795820539,0.05265604049549178,0.04139127982685853,0.1095210733121163,0.33363479404752117,0.0896193832159042,0.22256022362903893,0.0761016234755516,0.024905893465012385,0.008698262921885571
logistic,validation,1,14774,38,0.0025720860971977797,0.6999274958569062,0.01149579388920763,0.13419915503624588,0.25084801184844774,0.38110749185667747,0.0849704533444115,0.20263300760043435,0.0258271312840737,0.00256318592189561,0.0008048240960015597
logistic,validation,3,14774,178,0.012048192771084338,0.7251613494231143,0.05932339663952856,0.15106696449334123,0.281512540163052,0.4984242258152919,0.2155686345931017,0.27117018361194845,0.0934868794855818,0.011695208970874482,0.002512591403959811
logistic,validation,6,14774,349,0.023622580208474346,0.7316047335044917,0.09071345814217355,0.16847761994340352,0.2969790469693758,0.48915077989601385,0.2370604606723748,0.3009358752166378,0.1307689483073078,0.022361357274839788,0.004096261614213703
logistic,test,1,12485,41,0.0032839407288746494,0.7221954355512697,0.012546652753522304,0.13463930657147405,0.2506670485530743,0.6029411764705883,0.2249613693271974,0.3356637737062038,0.0656810312993394,0.0033183204446627147,0.0014498760611656798
logistic,test,3,12485,169,0.013536243492190628,0.7366945580963619,0.048292160682674626,0.15170749627070557,0.2855871721013563,0.5479863592075349,0.2496452152934817,0.3019649236765184,0.1182419489929,0.014475923954290513,0.0025960025076806935
logistic,test,6,12485,322,0.02579094913896676,0.7536025917110388,0.088047165550455,0.1633747964258156,0.29459378562213095,0.6175285702540492,0.3287762085522014,0.3396366028118063,0.155183845168002,0.02601852872212404,0.007808525007052338
phys_only,validation,1,14774,38,0.0025720860971977797,0.8043602491570948,0.06192432729219003,0.00573571325736849,0.02177652259746505,0.5856406080347448,0.0073994719423353,0.2907844733984799,0.0029985923320055,0.0025279624085001893,0.000662838518288042
phys_only,validation,3,14774,178,0.012048192771084338,0.8254955182426461,0.12604452726891,0.02390877348326582,0.05293497126375967,0.6823787338996985,0.0369362644851207,0.42169087421211293,0.0157106891274452,0.011228357587457044,0.001578040368433932
phys_only,validation,6,14774,349,0.023622580208474346,0.8153524057346317,0.17553530894057368,0.03566702605374955,0.062286420611549764,0.6608665511265165,0.0497581548988819,0.42509532062391686,0.0244079884141683,0.02118585204293897,0.002575142917765084
phys_only,test,1,12485,41,0.0032839407288746494,0.8646129783380766,0.0917834697411785,0.0051518139472007595,0.019111181649115128,0.827145612343298,0.0295019522309303,0.6186113789778207,0.0078068454749882,0.0032301611484682256,0.0015684124975882921
phys_only,test,3,12485,169,0.013536243492190628,0.842859435265811,0.10119819843955649,0.02278117606564839,0.04930412099998058,0.7941701851250406,0.0648977980017662,0.613673270542384,0.0265961699187755,0.012795792992915044,0.004010231870826695
phys_only,test,6,12485,322,0.02579094913896676,0.819631169369685,0.12655088749885676,0.03602204122824075,0.05715989973250599,0.7619830633889666,0.0736452341079711,0.5105648277563102,0.0295522790402174,0.023806750126091798,0.00741927511556742
text_only,validation,1,14774,38,0.0025720860971977797,0.42057403280187433,0.0029795517188110137,0.004008192811680527,0.031795302685747276,0.0678610206297503,0.0138490386307239,0.04512757871878392,0.0128698162734508,0.002564793568641875,0.0010087357003424851
text_only,validation,3,14774,178,0.012048192771084338,0.47212411588829933,0.014690687098030142,0.02113351309753371,0.08402548645139776,0.15613866812825428,0.0501251779496669,0.05563167991230478,0.0417380481958389,0.011902449468597878,0.004370999511737128
text_only,validation,6,14774,349,0.023622580208474346,0.48302443723835864,0.027726662013086056,0.037734645470836985,0.1045464488743366,0.1583362218370884,0.0668033957481384,0.05795493934142115,0.0559165552258491,0.023064383468690684,0.009465360929952003
